year,month,count,median_tip,combined_date
2020,1,4653312,26.6,2020-01
2020,2,4669249,26.5,2020-02
2020,3,2191233,26.37037037037037,2020-03
2020,4,127412,27.647058823529413,2020-04
2020,5,168198,27.387959866220736,2020-05
2020,6,310764,26.9811320754717,2020-06
2020,7,472831,27.222222222222225,2020-07
2020,8,617008,27.222222222222225,2020-08
2020,9,879348,27.08333333333333,2020-09
2020,10,1151564,26.94736842105263,2020-10
2020,11,1033517,26.94736842105263,2020-11
2020,12,980980,27.33333333333333,2020-12
2021,1,921461,27.6,2021-01
2021,2,938264,27.33333333333333,2021-02
2021,3,1331336,27.33333333333333,2021-03
2021,4,1531027,27.166666666666668,2021-04
2021,5,1807630,26.94736842105263,2021-05
2021,6,2058432,26.67796610169492,2021-06
2021,7,2007970,26.84210526315789,2021-07
2021,8,1984739,26.79310344827586,2021-08
2021,9,2145458,26.5,2021-09
2021,10,2585226,26.5,2021-10
2021,11,2591684,26.57142857142857,2021-11
2021,12,2342632,26.640000000000004,2021-12
2022,1,1858410,27.20930232558139,2022-01
2022,2,2278343,26.833333333333336,2022-02
2022,3,2762264,26.666666666666668,2022-03
2022,4,2710326,26.521739130434774,2022-04
2022,5,2694724,26.285714285714285,2022-05
2022,6,2668172,26.285714285714285,2022-06
2022,7,2342891,26.35483870967742,2022-07
2022,8,2328896,26.37037037037037,2022-08
2022,9,2389709,26.08,2022-09
2022,10,2777541,26.15625,2022-10
2022,11,2458517,26.285714285714285,2022-11
2022,12,2526615,26.13496932515337,2022-12
2023,1,2390453,26.13496932515337,2023-01
2023,2,2289885,26.062378167641327,2023-02
2023,3,2667597,25.925925925925924,2023-03
2023,4,2548478,25.882352941176475,2023-04
2023,5,39,24.8780487804878,2023-05
2019,1,5462338,22.22222222222222,2019-01
2019,2,5164758,26.0,2019-02
2019,3,5697701,26.190476190476197,2019-03
2019,4,5331684,26.190476190476197,2019-04
2019,5,5431608,26.0,2019-05
2019,6,4952447,25.93103448275862,2019-06
2019,7,4387521,26.08,2019-07
2019,8,4177053,26.163934426229503,2019-08
2019,9,4686109,25.90909090909091,2019-09
2019,10,5177750,26.0,2019-10
2019,11,4938585,26.0,2019-11
2019,12,4834824,26.190476190476197,2019-12
