year,month,count
2020,1,6317110
2020,2,6220581
2020,3,2965620
2020,4,230531
2020,5,336835
2020,6,530115
2020,7,772188
2020,8,975017
2020,9,1312700
2020,10,1650166
2020,11,1483202
2020,12,1437400
2021,1,1343633
2021,2,1346651
2021,3,1892358
2021,4,2130852
2021,5,2464340
2021,6,2788830
2021,7,2773242
2021,8,2739741
2021,9,2897170
2021,10,3408413
2021,11,3424458
2021,12,3163124
2022,1,2423144
2022,2,2933259
2022,3,3569044
2022,4,3542145
2022,5,3524118
2022,6,3486393
2022,7,3110137
2022,8,3084151
2022,9,3113320
2022,10,3590655
2022,11,3171445
2022,12,3313125
2023,1,2998608
2023,2,2850852
2023,3,3328989
2023,4,3221451
2023,5,46
