year,month,count,median_tip
2020,1,4653312,26.6
2020,2,4669249,26.5
2020,3,2191233,26.37037037037037
2020,4,127412,27.647058823529413
2020,5,168198,27.387959866220736
2020,6,310764,26.9811320754717
2020,7,472831,27.222222222222225
2020,8,617008,27.222222222222225
2020,9,879348,27.083333333333332
2020,10,1151564,26.94736842105263
2020,11,1033517,26.94736842105263
2020,12,980980,27.333333333333332
2021,1,921461,27.599999999999998
2021,2,938264,27.333333333333332
2021,3,1331336,27.333333333333332
2021,4,1531027,27.166666666666668
2021,5,1807630,26.94736842105263
2021,6,2058432,26.677966101694917
2021,7,2007970,26.842105263157894
2021,8,1984739,26.79310344827586
2021,9,2145458,26.5
2021,10,2585226,26.5
2021,11,2591684,26.57142857142857
2021,12,2342632,26.640000000000004
2022,1,1858410,27.20930232558139
2022,2,2278343,26.833333333333336
2022,3,2762264,26.666666666666668
2022,4,2710326,26.521739130434778
2022,5,2694724,26.285714285714285
2022,6,2668172,26.285714285714285
2022,7,2342891,26.35483870967742
2022,8,2328896,26.37037037037037
2022,9,2389709,26.08
2022,10,2777541,26.156249999999996
2022,11,2458517,26.285714285714285
2022,12,2526615,26.134969325153374
2023,1,2390453,26.134969325153374
2023,2,2289885,26.062378167641327
2023,3,2667597,25.925925925925924
2023,4,2548478,25.882352941176475
2023,5,39,24.878048780487802
